#{"t_start": 1643265592.165676, "env_id": "Pendulum-v0"}
r,l,t
-10.251552,5,0.130009
-30.294026,5,0.136303
-36.703121,5,0.141355
-33.442553,5,0.147592
-40.739874,5,0.155477
-2.858767,5,0.161803
-0.048145,5,0.166969
-0.70964,5,0.174346
-5.900122,5,0.183693
-2.456496,5,0.188629
-40.37717,5,0.193206
-0.074889,5,0.197638
-1.276503,5,0.202051
-1.520203,5,0.206421
-8.664005,5,0.210705
-9.642141,5,0.214976
-38.730151,5,0.219262
-10.415773,5,0.227069
-30.846241,5,0.234752
-32.401655,5,0.239397
-32.611842,5,0.243923
-17.573297,5,0.248338
-16.223216,5,0.252844
-41.560883,5,0.257326
-34.806099,5,0.261764
-11.612284,5,0.266183
-11.628309,5,0.271344
-26.719207,5,0.279693
-11.106576,5,0.285621
-30.888655,5,0.290001
-0.930275,5,0.294107
-2.479467,5,0.297797
-46.469485,5,0.301499
-34.094437,5,0.305159
-31.875264,5,0.308819
-0.607347,5,0.312468
-0.494497,5,0.316122
-0.470302,5,0.319924
-14.176039,5,0.326891
-19.016384,5,0.333239
-21.076783,5,0.337042
-0.261494,5,0.340788
-1.564457,5,0.344534
-30.301339,5,0.348395
-1.404854,5,0.352128
-8.837998,5,0.355933
-22.174955,5,0.359875
-13.781265,5,0.363578
-0.31513,5,0.367271
-5.977484,5,0.372006
-23.900391,5,0.37817
-42.029294,5,0.384073
-21.310689,5,0.387974
-41.001288,5,0.391953
-3.744952,5,0.396297
-31.467701,5,0.401207
-28.819974,5,0.405692
-13.495855,5,0.410164
-0.38126,5,0.414797
-23.849772,5,0.419265
-16.796342,5,0.426413
-43.080007,5,0.433968
-6.228857,5,0.438441
-39.410431,5,0.442891
-6.543942,5,0.447359
-22.807029,5,0.451642
-1.128694,5,0.455523
-3.045959,5,0.459269
-4.389167,5,0.462959
-0.368143,5,0.466651
-7.000609,5,0.470923
-9.265817,5,0.477398
-34.219316,5,0.481866
-14.778901,5,0.485821
-23.031224,5,0.489524
-4.912314,5,0.493359
-1.1399,5,0.49714
-6.992133,5,0.5012
-12.106146,5,0.505114
-1.002368,5,0.508943
-17.036243,5,0.512619
-29.461221,5,0.516634
-14.287921,5,0.521643
-27.589774,5,0.529337
-35.513421,5,0.534782
-20.08294,5,0.539431
-10.996903,5,0.543947
-39.721836,5,0.548362
-29.248855,5,0.552725
-11.78364,5,0.556728
-5.263296,5,0.560446
-37.264305,5,0.564095
-5.408581,5,0.567766
-41.813697,5,0.572939
-35.086872,5,0.57988
-15.32085,5,0.586201
-47.541731,5,0.590509
-34.35558,5,0.595192
-28.902919,5,0.599835
-12.68131,5,0.604435
-4.916103,5,0.609039
-0.029118,5,0.6136
-14.046727,5,0.618087
-6.001588,5,0.625434
-36.427727,5,0.633763
-41.254209,5,0.638339
-46.437558,5,0.642886
-11.181801,5,0.647443
-16.388554,5,0.65167
-46.611204,5,0.655488
-0.331982,5,0.659282
-3.235399,5,0.663032
-34.606068,5,0.666803
-13.805385,5,0.67196
-20.65445,5,0.679493
-5.710994,5,0.6855
-5.99463,5,0.690177
-0.333501,5,0.694694
-6.081777,5,0.698885
-45.959761,5,0.702673
-2.31055,5,0.706389
-32.018539,5,0.710152
-24.63278,5,0.71387
-28.25781,5,0.71759
-24.501663,5,0.722813
-35.22436,5,0.730843
-41.880072,5,0.735852
-0.652598,5,0.739752
-1.07202,5,0.743685
-22.62318,5,0.747535
-30.785845,5,0.751563
-46.254009,5,0.755383
-3.722088,5,0.759219
-11.351724,5,0.762988
-6.9097,5,0.766825
-39.400937,5,0.771982
-3.470066,5,0.779276
-2.319218,5,0.785076
-32.28972,5,0.788889
-0.243066,5,0.792674
-28.855158,5,0.796471
-0.199207,5,0.800257
-38.516023,5,0.804055
-16.452743,5,0.807837
-15.625751,5,0.811645
-43.085595,5,0.815439
-12.959328,5,0.819239
-16.566543,5,0.826683
-17.117535,5,0.834065
-44.336959,5,0.839424
-26.232306,5,0.843375
-19.067369,5,0.847239
-29.742198,5,0.850963
-27.219004,5,0.854831
-31.114547,5,0.85858
-1.144319,5,0.862309
-0.759725,5,0.866039
-6.801902,5,0.869981
-0.201809,5,0.877491
-13.583328,5,0.883954
-25.719719,5,0.887879
-38.905391,5,0.89195
-22.238597,5,0.895826
-47.790606,5,0.899623
-0.521955,5,0.903723
-1.866264,5,0.90776
-12.735044,5,0.911658
-10.198548,5,0.915502
-2.950589,5,0.919351
-7.901121,5,0.926744
-8.482117,5,0.933938
-10.079156,5,0.939308
-48.523862,5,0.943457
-3.518196,5,0.947295
-21.015634,5,0.951122
-18.014665,5,0.954954
-29.936345,5,0.958834
-40.140803,5,0.962738
-5.120491,5,0.96658
-19.076203,5,0.971215
-47.679661,5,0.979045
-9.425716,5,0.985195
-8.452007,5,0.989201
-0.368623,5,0.993978
-5.211879,5,0.998149
-4.938693,5,1.002061
-5.654389,5,1.006093
-34.809859,5,1.010025
-12.200869,5,1.01397
-23.723436,5,1.017836
-1.718842,5,1.023701
-1.009321,5,1.03152
-0.921131,5,1.036455
-36.111893,5,1.040348
-44.215607,5,1.044189
-0.26239,5,1.049238
-15.561407,5,1.053846
-1.349302,5,1.059032
-0.63611,5,1.063769
-27.34107,5,1.068515
-26.091122,5,1.102933
